Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.33     0.00      768     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > >(__gnu_cxx::__normal_iterator<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > > const&, __gnu_cxx::__normal_iterator<std::pair<char, char> const*, std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > > > const&)
  0.00      1.33     0.00      768     0.00     0.00  bool __gnu_cxx::operator!=<char const*, std::vector<char, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&)
  0.00      1.33     0.00      768     0.00     0.00  std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > >::end() const
  0.00      1.33     0.00      768     0.00     0.00  std::vector<std::pair<char, char>, std::allocator<std::pair<char, char> > >::begin() const
  0.00      1.33     0.00      768     0.00     0.00  std::vector<char, std::allocator<char> >::end() const
  0.00      1.33     0.00      768     0.00     0.00  std::vector<char, std::allocator<char> >::begin() const
  0.00      1.33     0.00      768     0.00     0.00  std::__cxx11::regex_traits<char>::isctype(char, std::__cxx11::regex_traits<char>::_RegexMask) const
  0.00      1.33     0.00      768     0.00     0.00  std::__detail::_BracketMatcher<std::__cxx11::regex_traits<char>, false, false>::_M_apply(char, std::integral_constant<bool, false>) const
  0.00      1.33     0.00      768     0.00     0.00  std::__detail::_RegexTranslator<std::__cxx11::regex_traits<char>, false, false>::_M_transform(char) const
  0.00      1.33     0.00      768     0.00     0.00  std::_Base_bitset<4ul>::_M_getword(unsigned long)
  0.00      1.33     0.00      768     0.00     0.00  std::bitset<256ul>::reference::reference(std::bitset<256ul>&, unsigned long)
  0.00      1.33     0.00      768     0.00     0.00  std::bitset<256ul>::reference::~reference()
  0.00      1.33     0.00      768     0.00     0.00  std::bitset<256ul>::reference::operator=(bool)
  0.00      1.33     0.00      768     0.00     0.00  std::bitset<256ul>::operator[](unsigned long)
  0.00      1.33     0.00      768     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >::difference_type std::__distance<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, std::random_access_iterator_tag)
  0.00      1.33     0.00      768     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > std::__lower_bound<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char, __gnu_cxx::__ops::_Iter_less_val>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char const&, __gnu_cxx::__ops::_Iter_less_val)
  0.00      1.33     0.00      768     0.00     0.00  bool std::binary_search<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char const&)
  0.00      1.33     0.00      768     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&)
  0.00      1.33     0.00      768     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >::difference_type std::distance<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
