Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 66.13     10.19    10.19        1    10.19    14.89  Filter::blur(Matrix, int)
  9.80     11.70     1.51 601560000     0.00     0.00  Matrix::r(unsigned int, unsigned int)
  7.79     12.90     1.20 601560000     0.00     0.00  Matrix::b(unsigned int, unsigned int)
  6.00     13.82     0.93 601560000     0.00     0.00  Matrix::g(unsigned int, unsigned int)
  4.22     14.47     0.65 18000000     0.00     0.00  Filter::Gauss::get_weights(int, double*)
  1.65     14.73     0.26 153006002     0.00     0.00  Matrix::get_y_size() const
  0.97     14.88     0.15 27000000     0.00     0.00  Matrix::b(unsigned int, unsigned int) const
  0.97     15.03     0.15        3     0.05     0.22  Matrix::Matrix(Matrix const&)
  0.84     15.16     0.13 27000000     0.00     0.00  Matrix::r(unsigned int, unsigned int) const
  0.68     15.27     0.10 135006004     0.00     0.00  Matrix::get_x_size() const
  0.42     15.33     0.07 27000000     0.00     0.00  Matrix::g(unsigned int, unsigned int) const
  0.19     15.36     0.03        1     0.03     0.03  PPM::Reader::get_data(unsigned int, unsigned int)
  0.19     15.39     0.03                             _init
  0.13     15.41     0.02        1     0.02     0.02  PPM::Writer::operator()(Matrix, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00     15.41     0.00     4428     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00     15.41     0.00     3084     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::base() const
  0.00     15.41     0.00     2952     0.00     0.00  char* std::vector<char, std::allocator<char> >::_M_data_ptr<char>(char*) const
  0.00     15.41     0.00     2952     0.00     0.00  std::vector<char, std::allocator<char> >::data()
  0.00     15.41     0.00     2220     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator()
