Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 44.68      0.21     0.21                             Filter::vertical_thread(void*)
 44.68      0.42     0.21                             Filter::horizontal_thread(void*)
  4.26      0.44     0.02  8221558     0.00     0.00  Matrix::g(unsigned int)
  2.13      0.45     0.01  8180195     0.00     0.00  Matrix::b(unsigned int)
  2.13      0.46     0.01        1    10.00    10.00  PPM::Reader::get_data(unsigned int, unsigned int)
  2.13      0.47     0.01        1    10.00    10.00  PPM::Writer::operator()(Matrix, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.47     0.00  8209423     0.00     0.00  Matrix::r(unsigned int)
  0.00      0.47     0.00     4428     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      0.47     0.00     3084     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::base() const
  0.00      0.47     0.00     2952     0.00     0.00  char* std::vector<char, std::allocator<char> >::_M_data_ptr<char>(char*) const
  0.00      0.47     0.00     2952     0.00     0.00  std::vector<char, std::allocator<char> >::data()
  0.00      0.47     0.00     2220     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator()
  0.00      0.47     0.00     2214     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::__normal_iterator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const* const&)
  0.00      0.47     0.00     1548     0.00     0.00  std::_Base_bitset<4ul>::_S_whichbit(unsigned long)
