Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 44.14      1.28     1.28                             Filter::vertical_thread(void*)
 40.69      2.46     1.18                             Filter::horizontal_thread(void*)
  7.24      2.67     0.21        3    70.00   129.58  Matrix::Matrix(Matrix&)
  3.45      2.77     0.10 57838758     0.00     0.00  Matrix::b(unsigned int)
  1.72      2.82     0.05 56735760     0.00     0.00  Matrix::r(unsigned int)
  1.38      2.86     0.04 57161899     0.00     0.00  Matrix::g(unsigned int)
  0.69      2.88     0.02        1    20.00    20.00  PPM::Writer::operator()(Matrix, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.34      2.89     0.01        1    10.00    10.00  PPM::Reader::get_data(unsigned int, unsigned int)
  0.34      2.90     0.01                             _init
  0.00      2.90     0.00     4428     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      2.90     0.00     3084     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::base() const
  0.00      2.90     0.00     2952     0.00     0.00  char* std::vector<char, std::allocator<char> >::_M_data_ptr<char>(char*) const
  0.00      2.90     0.00     2952     0.00     0.00  std::vector<char, std::allocator<char> >::data()
  0.00      2.90     0.00     2220     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator()
  0.00      2.90     0.00     2214     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::__normal_iterator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const* const&)
  0.00      2.90     0.00     1548     0.00     0.00  std::_Base_bitset<4ul>::_S_whichbit(unsigned long)
